predict_true,predict_error,true
1.0,3.3142824e-17,0
0.99999535,4.614702e-06,0
0.9999677,3.227139e-05,0
1.0,3.1258808e-17,0
0.25196725,0.74803275,1
0.18859817,0.81140184,1
1.0,4.1243606e-17,0
1.0,1.2494612e-17,0
1.0,7.9407294e-17,0
0.9999969,3.1249824e-06,0
0.99999285,7.1624245e-06,0
0.9999788,2.1230757e-05,0
0.9985434,0.0014565963,0
1.0,2.7635831e-17,0
1.0,2.3468724e-17,0
0.9999943,5.7647467e-06,0
1.0,3.635975e-17,0
1.0,9.636438e-17,0
0.9977284,0.002271641,0
0.9999974,2.5791016e-06,0
1.0,2.8516132e-17,0
1.0,1.6945336e-17,0
1.0,2.632366e-17,0
1.0,2.5901712e-17,0
0.999995,4.984026e-06,0
1.0,2.6629586e-17,0
1.0,1.7375856e-10,0
0.9999846,1.5401418e-05,0
0.9999999,1.3182617e-07,0
1.0,3.4943894e-17,0
1.0,2.3872519e-17,0
0.9999802,1.9810834e-05,0
0.99998677,1.3247109e-05,0
0.99999726,2.6927562e-06,0
0.0895922,0.9104077,1
1.0,2.7116817e-17,0
0.99998856,1.1395981e-05,0
0.9999981,1.8933728e-06,0
1.0,2.6919857e-17,0
0.99812955,0.0018705222,0
1.0,6.359391e-17,0
0.99999845,1.4939715e-06,0
0.0034049305,0.9965951,1
0.105658084,0.89434195,1
1.0,4.6914826e-17,0
1.0,1.5769204e-17,0
1.0,2.7575068e-17,0
1.0,2.2962181e-17,0
0.99999845,1.5295502e-06,0
1.0,5.892951e-17,0
0.049037,0.95096296,1
1.0,7.165045e-17,0
0.9999976,2.4106225e-06,0
0.011228715,0.98877126,1
0.9993248,0.0006751772,0
1.0,6.0859304e-17,0
1.0,9.4776336e-17,0
1.0,3.409499e-17,0
1.0,2.614672e-17,0
0.03634594,0.9636541,1
1.0,2.2450636e-17,0
1.0,5.6443695e-17,0
0.0026829026,0.99731714,1
1.0,1.9841964e-17,0
1.0,2.5721524e-17,0
1.0,2.4947946e-17,0
1.0,3.286371e-17,0
1.0,3.134753e-17,0
1.0,5.712494e-17,0
1.0,4.0080643e-17,0
0.02364973,0.97635025,1
0.06920376,0.93079627,1
1.0,3.5202246e-17,0
0.9999969,3.0655278e-06,0
0.012144127,0.98785585,1
1.0,2.6882708e-17,0
1.0,2.0768039e-17,0
1.0,1.804441e-17,0
0.9999789,2.1089823e-05,0
0.0029835352,0.99701643,1
1.0,2.4692686e-17,0
0.9999907,9.329738e-06,0
1.0,2.1198505e-17,0
0.05120587,0.9487942,1
1.0,2.6094706e-17,0
1.0,4.348788e-17,0
0.023931552,0.9760684,1
0.99999785,2.1514038e-06,0
1.0,1.0408385e-17,0
0.0028448475,0.9971552,1
1.0,2.3114219e-17,0
1.0,3.6044585e-18,0
0.050540213,0.94945973,1
1.0,7.712349e-17,0
0.9999572,4.282896e-05,0
1.0,3.6078876e-16,0
1.0,2.2972695e-17,0
0.9950787,0.0049213455,0
1.0,3.4409883e-17,0
0.9999974,2.5770537e-06,0
0.9999919,8.1222e-06,0
0.9999883,1.1650983e-05,0
1.0,9.916153e-18,0
1.0,2.6758808e-17,0
0.9999933,6.724578e-06,0
1.0,2.7634566e-17,0
0.9999994,5.912376e-07,0
1.0,1.7141093e-17,0
0.99999666,3.3950223e-06,0
0.99700516,0.0029948086,0
0.97996897,0.02003105,0
0.9999975,2.5437218e-06,0
0.99999666,3.3637805e-06,0
1.0,1.8496649e-17,0
0.9999831,1.6966887e-05,0
1.0,5.3161462e-17,0
0.0069882884,0.99301165,1
1.0,3.8009598e-17,0
0.99996734,3.264696e-05,0
1.0,3.1618228e-17,0
0.9999995,4.9640045e-07,0
1.0,2.2532832e-17,0
1.0,5.214439e-16,0
1.0,3.5128736e-17,0
0.9999919,8.0800555e-06,0
1.0,2.9782453e-17,0
1.0,3.7276276e-17,0
